,P09172,P0DMS8,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,P9WID5,Q01959,Q05754,Q4KLH9,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q8BUD0,Q91ZY2,Q95136,Q96NT5,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1
P22102,0.008727515,0.009554055,0.011773621,0.008776645,0.010267749,0.010267749,0.011760561,0.009534339,0.011357771,0.009223951,1,0.012448041,0.011454435,0.011153873,0.010589672,0.011153873,0.009161982,0.011904452,0.011054134,0.011153873,0.009949311,0.009111688,0.009130114,0.009019974,0.007015774,0.00841928,0.010845794,0.008291369,0.007744612,0.012205728,0.011153873,0.009818087,0.010327129,0.009764582,0.011760561,0.011760561,0.011187724,0.012438157,0.00870671,0.010535441,0.011153873,0.008418648,0.011904452,0.012448041,0.008800928,0.010592699,0.796296296,0.008914604,0.008617747,0.008800928,0.009400408,0.011816249,0.008628621,0.010279101,0.010279101,0.012481766
P23977,0.010350332,0.01553,0.011277677,0.010408597,0.01405034,0.012176961,0.011265168,0.012176961,0.01353874,0.010874348,0.012448041,1,0.014629249,0.013149581,0.711554765,0.013149581,0.018527215,0.017375996,0.020633996,0.013149581,0.013684409,0.011637165,0.011660698,0.01398861,0.01058948,0.011648914,0.012862489,0.01058948,0.011539707,0.016628028,0.013149581,0.014629249,0.012090365,0.011431769,0.011265168,0.011265168,0.016486862,0.882446664,0.008737096,0.015525621,0.013149581,0.011729494,0.020633996,0.988871224,0.011240272,0.011447333,0.009958432,0.015525621,0.012006894,0.012176961,0.016623567,0.881652383,0.013023882,0.013128149,0.013128149,0.013128149
P25021,0.011512728,0.068535551,0.08277284,0.01263004,0.070185123,0.066491169,0.082681024,0.084960939,0.076273925,0.079812596,0.011454435,0.014629249,1,0.072023682,0.013828052,0.073464156,0.094855582,0.124200577,0.118490206,0.077785577,0.093798417,0.06589713,0.054239249,0.012980204,0.011778733,0.068319504,0.071535067,0.011778733,0.013002373,0.034153515,0.070583208,0.793956044,0.067907731,0.019125969,0.085149114,0.085149114,0.014448453,0.016705867,0.011485284,0.034015148,0.069142735,0.083519138,0.117062613,0.014629249,0.073879077,0.013680006,0.012272609,0.02993333,0.044720122,0.089886211,0.018210321,0.016705867,0.035557849,0.03328234,0.03328234,0.03451502
P25099,0.014268082,0.273720785,0.058299156,0.014348401,0.043902153,0.038737194,0.062116786,0.046484633,0.047991469,0.054964971,0.011153873,0.013149581,0.072023682,1,0.013465207,0.883685801,0.255400338,0.257495417,0.261986616,0.924471299,0.251971226,0.043190001,0.045750333,0.012477559,0.012351943,0.051880326,0.04773765,0.012351943,0.01249887,0.030085095,0.918429003,0.074904629,0.727276066,0.014326236,0.054352187,0.054352187,0.018181902,0.013139141,0.013139141,0.034243669,0.972809668,0.256013545,0.263483683,0.013149581,0.043902153,0.014345741,0.012011863,0.034243669,0.028965435,0.046484633,0.014004117,0.013139141,0.040050359,0.027146015,0.025853348,0.028438682
P27922,0.009783478,0.013630939,0.009771699,0.010595364,0.012395459,0.015051629,0.00976086,0.013280849,0.01736772,0.011135362,0.010589672,0.711554765,0.013828052,0.013465207,1,0.012429422,0.014747402,0.014371323,0.01642437,0.012429422,0.015706736,0.010999835,0.01102208,0.010889117,0.010779492,0.011010941,0.014028522,0.010779492,0.010907715,0.017682036,0.013465207,0.011852616,0.01558393,0.009823353,0.00976086,0.00976086,0.01558393,0.729008564,0.009760156,0.018588756,0.013465207,0.015706736,0.01642437,0.707046498,0.011510069,0.009836728,0.008236411,0.018588756,0.011349315,0.012395459,0.013967243,0.72675622,0.014204545,0.012409163,0.012409163,0.014181901
P28190,0.014268082,0.272191619,0.06477684,0.015452124,0.043902153,0.041319674,0.065999085,0.046484633,0.047991469,0.056214175,0.011153873,0.013149581,0.073464156,0.883685801,0.012429422,1,0.259432975,0.254501284,0.258992484,0.918429003,0.253318665,0.039488001,0.042040846,0.012477559,0.012351943,0.048174589,0.050465516,0.012351943,0.01249887,0.027219848,0.873111782,0.077785577,0.715154799,0.015758859,0.058234486,0.058234486,0.01969706,0.013139141,0.016423926,0.029963211,0.877643505,0.253318665,0.267974882,0.013149581,0.043902153,0.015780315,0.012011863,0.029963211,0.026206822,0.046484633,0.014004117,0.013139141,0.034526171,0.02973135,0.028438682,0.031024017
P29274,0.010743376,0.172816149,0.058795729,0.011786022,0.034471011,0.057451684,0.062185245,0.039067145,0.055755184,0.037795326,0.009161982,0.018527215,0.094855582,0.255400338,0.014747402,0.259432975,1,0.366352877,0.378342608,0.262121399,0.729018883,0.038433423,0.03521019,0.014131584,0.011990842,0.036273813,0.060686047,0.011990842,0.01415572,0.020397547,0.259432975,0.064091609,0.234602785,0.01529816,0.056427352,0.056427352,0.017527794,0.015589478,0.012666451,0.019045228,0.255400338,0.73381506,0.382339185,0.018527215,0.034471011,0.014042406,0.008398483,0.019045228,0.022093225,0.040216179,0.018126288,0.015589478,0.023350053,0.029907905,0.029907905,0.026456993
P29275,0.014140496,0.180343608,0.059061793,0.014220097,0.040950191,0.06270498,0.061561334,0.049908045,0.070022314,0.04333117,0.011904452,0.017375996,0.124200577,0.257495417,0.014371323,0.254501284,0.366352877,1,0.804154303,0.261986616,0.35521396,0.035466,0.03676316,0.011241804,0.012241491,0.037950207,0.066235088,0.012241491,0.012387105,0.035495325,0.250010085,0.104214278,0.252270453,0.012778317,0.058996278,0.058996278,0.018019318,0.016277063,0.01302165,0.035351521,0.255998351,0.357884742,0.820474777,0.017375996,0.044789271,0.015639206,0.011904452,0.035351521,0.041009177,0.047348658,0.027757783,0.016277063,0.039692226,0.052525439,0.049963223,0.049963223
P29276,0.014140496,0.200045011,0.068049457,0.014220097,0.039670497,0.070383141,0.065408917,0.051187739,0.067379963,0.044569204,0.011054134,0.020633996,0.118490206,0.261986616,0.01642437,0.258992484,0.378342608,0.804154303,1,0.264980749,0.363226305,0.040357862,0.041664915,0.012365984,0.012241491,0.041622808,0.074345507,0.012241491,0.012387105,0.025556634,0.255998351,0.108497056,0.237254354,0.015617943,0.065408917,0.065408917,0.018019318,0.019532475,0.01302165,0.026867156,0.261986616,0.363226305,0.93768546,0.020633996,0.044789271,0.015639206,0.011904452,0.026867156,0.032807342,0.048628352,0.022710913,0.019532475,0.034217436,0.056368764,0.053806548,0.053806548
P30542,0.014268082,0.26760412,0.059594692,0.014348401,0.051649592,0.038737194,0.063410885,0.054232072,0.047991469,0.053715767,0.011153873,0.013149581,0.077785577,0.924471299,0.012429422,0.918429003,0.262121399,0.261986616,0.264980749,1,0.251971226,0.043190001,0.045750333,0.012477559,0.012351943,0.05064508,0.04773765,0.012351943,0.01249887,0.027219848,0.932024169,0.080666524,0.740912493,0.014326236,0.055646287,0.055646287,0.018181902,0.013139141,0.01423407,0.03139003,0.922960725,0.254666105,0.267974882,0.013149581,0.051649592,0.015780315,0.012011863,0.03139003,0.028965435,0.054232072,0.014004117,0.013139141,0.037288265,0.027146015,0.025853348,0.028438682
P30543,0.013706217,0.173231074,0.053158769,0.009845267,0.039160944,0.048375284,0.056562832,0.044919907,0.055889051,0.035657479,0.009949311,0.013684409,0.093798417,0.251971226,0.015706736,0.253318665,0.729018883,0.35521396,0.363226305,0.251971226,1,0.036324232,0.030882887,0.014165514,0.012019632,0.034157213,0.051098672,0.012019632,0.014189707,0.021724428,0.250623786,0.07067004,0.225705354,0.014056983,0.050791115,0.050791115,0.020272936,0.010743499,0.012696863,0.021636415,0.249276346,0.943509615,0.380586386,0.013684409,0.039160944,0.014076121,0.009949311,0.021636415,0.02952836,0.042616322,0.018169809,0.010743499,0.025869917,0.031132779,0.029979713,0.029979713
P31389,0.01165571,0.047469155,0.049741716,0.011721324,0.048521911,0.040083318,0.0507437,0.049576735,0.04900577,0.038778417,0.009111688,0.011637165,0.06589713,0.043190001,0.010999835,0.039488001,0.038433423,0.035466,0.040357862,0.043190001,0.036324232,1,0.562627411,0.00926638,0.011007711,0.581231376,0.041225684,0.011007711,0.009282207,0.035109651,0.043190001,0.060013458,0.034656863,0.010532895,0.04968654,0.04968654,0.016090686,0.011627926,0.01073347,0.038464151,0.043190001,0.037424966,0.040357862,0.011637165,0.04324779,0.010547236,0.009111688,0.038464151,0.031549461,0.048521911,0.019760131,0.011627926,0.038358401,0.044351595,0.045407585,0.041183624
P31390,0.010780875,0.04506172,0.050902781,0.0099381,0.048620034,0.041221333,0.051905615,0.044392205,0.038192678,0.032721547,0.009130114,0.011660698,0.054239249,0.045750333,0.01102208,0.042040846,0.03521019,0.03676316,0.041664915,0.045750333,0.030882887,0.562627411,1,0.009285119,0.010110807,0.688574669,0.048007818,0.010110807,0.009300978,0.028144521,0.042040846,0.050701907,0.03968794,0.012899572,0.049787018,0.049787018,0.018603722,0.012547705,0.009858911,0.030366373,0.045750333,0.030882887,0.042890353,0.011660698,0.042278291,0.010568565,0.010534747,0.032702248,0.029355172,0.044392205,0.01563165,0.012547705,0.031653152,0.037034404,0.039150655,0.035976278
P32298,0.009890049,0.012631135,0.011674168,0.009945723,0.011635448,0.01551393,0.011661218,0.010665827,0.015015775,0.012194714,0.009019974,0.01398861,0.012980204,0.012477559,0.010889117,0.012477559,0.014131584,0.011241804,0.012365984,0.012477559,0.014165514,0.00926638,0.009285119,1,0.513517011,0.009275735,0.017411527,0.506771304,0.494028023,0.016136833,0.012477559,0.012980204,0.012515428,0.013985255,0.011661218,0.011661218,0.013653194,0.011510885,0.009866473,0.015000027,0.012477559,0.014165514,0.012365984,0.01398861,0.010665827,0.011849789,0.007731407,0.015000027,0.010357518,0.010665827,0.011472003,0.013977503,0.010370588,0.012619004,0.012619004,0.012619004
P34947,0.008974608,0.012503973,0.00866748,0.009025129,0.011518309,0.011518309,0.00961985,0.009598591,0.013873632,0.011143334,0.007015774,0.01058948,0.011778733,0.012351943,0.010779492,0.012351943,0.011990842,0.012241491,0.012241491,0.012351943,0.012019632,0.011007711,0.010110807,0.513517011,1,0.012855294,0.013180653,0.957429048,0.580277054,0.012779502,0.012351943,0.010707939,0.01238943,0.011714543,0.00961985,0.00961985,0.013515742,0.010581072,0.010581072,0.011667084,0.012351943,0.013021268,0.012241491,0.01058948,0.011518309,0.011730492,0.008291369,0.011667084,0.01127857,0.01055845,0.009463758,0.010581072,0.011292801,0.011531044,0.011531044,0.011531044
P35367,0.012564976,0.048767529,0.051910741,0.009928057,0.049626787,0.041179675,0.052911386,0.044347342,0.042514546,0.045968172,0.00841928,0.011648914,0.068319504,0.051880326,0.011010941,0.048174589,0.036273813,0.037950207,0.041622808,0.05064508,0.034157213,0.581231376,0.688574669,0.009275735,0.012855294,1,0.046843968,0.010100589,0.009291578,0.025773071,0.048174589,0.068319504,0.040886826,0.012886536,0.050794931,0.050794931,0.017345926,0.011639665,0.009848947,0.029168927,0.051880326,0.034157213,0.046519608,0.011648914,0.043291453,0.014077179,0.00841928,0.029168927,0.025941793,0.044347342,0.014574796,0.011639665,0.030491836,0.040168146,0.042282259,0.039111089
P35462,0.012882987,0.063513136,0.34508235,0.011958932,0.06995345,0.74383835,0.344699563,0.078114686,0.175737878,0.07444375,0.010845794,0.012862489,0.071535067,0.04773765,0.014028522,0.050465516,0.060686047,0.066235088,0.074345507,0.04773765,0.051098672,0.041225684,0.048007818,0.017411527,0.013180653,0.046843968,1,0.014194549,0.017441265,0.023283892,0.050465516,0.075436979,0.053354818,0.012935496,0.34353109,0.345868036,0.017784939,0.012852277,0.010875003,0.021901253,0.04773765,0.051098672,0.07299377,0.012862489,0.074617013,0.012953107,0.010071094,0.021901253,0.068497453,0.078114686,0.016093187,0.012852277,0.04489127,0.042018474,0.046687193,0.045520013
P43249,0.008974608,0.012503973,0.010593587,0.009025129,0.011518309,0.011518309,0.010581836,0.01055845,0.013873632,0.011143334,0.008291369,0.01058948,0.011778733,0.012351943,0.010779492,0.012351943,0.011990842,0.012241491,0.012241491,0.012351943,0.012019632,0.011007711,0.010110807,0.506771304,0.957429048,0.010100589,0.014194549,1,0.576898439,0.012779502,0.012351943,0.010707939,0.01238943,0.015974377,0.010581836,0.010581836,0.015768366,0.010581072,0.010581072,0.011667084,0.012351943,0.013021268,0.012241491,0.01058948,0.011518309,0.015996126,0.008291369,0.011667084,0.01127857,0.01055845,0.012302886,0.010581072,0.011292801,0.011531044,0.011531044,0.011531044
P43250,0.008255784,0.012652708,0.014617634,0.00996271,0.01165532,0.016511704,0.014601419,0.01165532,0.018049705,0.009396571,0.007744612,0.011539707,0.013002373,0.01249887,0.010907715,0.01249887,0.01415572,0.012387105,0.012387105,0.01249887,0.014189707,0.009282207,0.009300978,0.494028023,0.580277054,0.009291578,0.017441265,0.576898439,1,0.018319646,0.01249887,0.013002373,0.011397094,0.015086768,0.014601419,0.014601419,0.013676513,0.011530545,0.009059714,0.018245427,0.01249887,0.014189707,0.012387105,0.011539707,0.01165532,0.014028214,0.007744612,0.018245427,0.011412729,0.01165532,0.012449229,0.011530545,0.01142713,0.012640557,0.012640557,0.012640557
P46093,0.013531803,0.024654361,0.03317444,0.016748281,0.023267547,0.020818331,0.034364961,0.02694137,0.031607609,0.024879561,0.012205728,0.016628028,0.034153515,0.030085095,0.017682036,0.027219848,0.020397547,0.035495325,0.025556634,0.027219848,0.021724428,0.035109651,0.028144521,0.016136833,0.012779502,0.025773071,0.023283892,0.012779502,0.018319646,1,0.027219848,0.030055094,0.031613372,0.012228261,0.030683001,0.030683001,0.018680629,0.0155764,0.011422693,0.864689128,0.027219848,0.023002336,0.025556634,0.016628028,0.023267547,0.012244909,0.012205728,0.85521679,0.024854466,0.02694137,0.020525893,0.0155764,0.023576048,0.023293271,0.020841348,0.022067309
P47745,0.014268082,0.264545787,0.054412545,0.014348401,0.047775873,0.036154715,0.058234486,0.050358352,0.04399218,0.047469748,0.011153873,0.013149581,0.070583208,0.918429003,0.013465207,0.873111782,0.259432975,0.250010085,0.255998351,0.932024169,0.250623786,0.043190001,0.042040846,0.012477559,0.012351943,0.048174589,0.050465516,0.012351943,0.01249887,0.027219848,1,0.073464156,0.728791225,0.014326236,0.050469888,0.050469888,0.018181902,0.013139141,0.01423407,0.027109572,0.918429003,0.254666105,0.255998351,0.013149581,0.047775873,0.014345741,0.012011863,0.027109572,0.028965435,0.050358352,0.017823422,0.013139141,0.031764078,0.027146015,0.025853348,0.028438682
P47747,0.013605951,0.056869925,0.085243671,0.013682543,0.078804349,0.066491169,0.083915069,0.10835598,0.075002693,0.084577527,0.009818087,0.014629249,0.793956044,0.074904629,0.011852616,0.077785577,0.064091609,0.104214278,0.108497056,0.080666524,0.07067004,0.060013458,0.050701907,0.012980204,0.010707939,0.068319504,0.075436979,0.010707939,0.013002373,0.030055094,0.073464156,1,0.069352577,0.012295266,0.083915069,0.083915069,0.013003608,0.016705867,0.013573517,0.025851513,0.073464156,0.07067004,0.102786685,0.014629249,0.082498303,0.013680006,0.009818087,0.025851513,0.046035419,0.104662026,0.021852386,0.016705867,0.036874807,0.022188227,0.022188227,0.023420906
P49892,0.012109633,0.296024805,0.050679276,0.014391947,0.041445075,0.038854758,0.054517141,0.050511185,0.04278855,0.040095843,0.010327129,0.012090365,0.067907731,0.727276066,0.01558393,0.715154799,0.234602785,0.252270453,0.237254354,0.740912493,0.225705354,0.034656863,0.03968794,0.012515428,0.01238943,0.040886826,0.053354818,0.01238943,0.011397094,0.031613372,0.728791225,0.069352577,1,0.017243658,0.046728978,0.046728978,0.016717325,0.012080766,0.014277269,0.037209895,0.72424575,0.225705354,0.237254354,0.012090365,0.044035392,0.014389279,0.011187724,0.037209895,0.02766985,0.04662571,0.017877514,0.012080766,0.037401432,0.022042039,0.02463522,0.02463522
P55263,0.013531803,0.014502565,0.01228683,0.013607978,0.013470685,0.012246077,0.0122732,0.013470685,0.012643043,0.01184741,0.009764582,0.011431769,0.019125969,0.014326236,0.009823353,0.015758859,0.01529816,0.012778317,0.015617943,0.014326236,0.014056983,0.010532895,0.012899572,0.013985255,0.011714543,0.012886536,0.012935496,0.015974377,0.015086768,0.012228261,0.014326236,0.012295266,0.017243658,1,0.0122732,0.0122732,0.021554572,0.010384266,0.0155764,0.01217872,0.014326236,0.014056983,0.01419813,0.011431769,0.013470685,0.829932741,0.010578297,0.01217872,0.014389428,0.013470685,0.01328146,0.010384266,0.018336926,0.015937501,0.015937501,0.015937501
P61168,0.01128312,0.070741495,0.92563875,0.010401083,0.070796633,0.329646824,0.945676275,0.078540015,0.133620512,0.08989558,0.011760561,0.011265168,0.085149114,0.054352187,0.00976086,0.058234486,0.056427352,0.058996278,0.065408917,0.055646287,0.050791115,0.04968654,0.049787018,0.011661218,0.00961985,0.050794931,0.34353109,0.010581836,0.014601419,0.030683001,0.050469888,0.083915069,0.046728978,0.0122732,1,0.996674058,0.016874353,0.012194242,0.012194242,0.029336346,0.054352187,0.050791115,0.067973973,0.011265168,0.07632762,0.013518901,0.008085386,0.029336346,0.034267662,0.074115226,0.01417856,0.012194242,0.030761499,0.031007771,0.038759714,0.036544873
P61169,0.01128312,0.070741495,0.928968386,0.010401083,0.070796633,0.331859219,0.949002217,0.078540015,0.133620512,0.08989558,0.011760561,0.011265168,0.085149114,0.054352187,0.00976086,0.058234486,0.056427352,0.058996278,0.065408917,0.055646287,0.050791115,0.04968654,0.049787018,0.011661218,0.00961985,0.050794931,0.345868036,0.010581836,0.014601419,0.030683001,0.050469888,0.083915069,0.046728978,0.0122732,0.996674058,1,0.016874353,0.012194242,0.010318205,0.029336346,0.054352187,0.050791115,0.067973973,0.011265168,0.07632762,0.013518901,0.008085386,0.029336346,0.034267662,0.074115226,0.01417856,0.012194242,0.030761499,0.031007771,0.038759714,0.036544873
P9WID5,0.014311384,0.01687188,0.016893092,0.013284875,0.01813222,0.016837062,0.016874353,0.020722538,0.022731417,0.015035941,0.011187724,0.016486862,0.014448453,0.018181902,0.01558393,0.01969706,0.017527794,0.018019318,0.018019318,0.018181902,0.020272936,0.016090686,0.018603722,0.013653194,0.013515742,0.017345926,0.017784939,0.015768366,0.013676513,0.018680629,0.018181902,0.013003608,0.016717325,0.021554572,0.016874353,0.016874353,1,0.013179017,0.014277269,0.018604948,0.018181902,0.017569878,0.018019318,0.016486862,0.025903172,0.021583918,0.011187724,0.018604948,0.017985402,0.020722538,0.016600549,0.013179017,0.016622859,0.019448858,0.022042039,0.022042039
Q01959,0.011137661,0.01551767,0.011268723,0.010400333,0.012167293,0.012167293,0.013132261,0.013103239,0.012561706,0.011771191,0.012438157,0.882446664,0.016705867,0.013139141,0.729008564,0.013139141,0.015589478,0.016277063,0.019532475,0.013139141,0.010743499,0.011627926,0.012547705,0.011510885,0.010581072,0.011639665,0.012852277,0.010581072,0.011530545,0.0155764,0.013139141,0.016705867,0.012080766,0.010384266,0.012194242,0.012194242,0.013179017,1,0.008730159,0.015513294,0.013139141,0.010743499,0.019532475,0.883240946,0.012167293,0.010398404,0.009950526,0.015513294,0.011997361,0.012167293,0.011996377,0.983333333,0.013013541,0.013117726,0.012180745,0.014054706
Q05754,0.644393243,0.014409265,0.010329663,0.647220711,0.010295402,0.012167293,0.010318205,0.010295402,0.010629136,0.010865715,0.00870671,0.008737096,0.011485284,0.013139141,0.009760156,0.016423926,0.012666451,0.01302165,0.01302165,0.01423407,0.012696863,0.01073347,0.009858911,0.009866473,0.010581072,0.009848947,0.010875003,0.010581072,0.009059714,0.011422693,0.01423407,0.013573517,0.014277269,0.0155764,0.012194242,0.010318205,0.014277269,0.008730159,1,0.011376416,0.013139141,0.012696863,0.01302165,0.008737096,0.010295402,0.017677287,0.006840987,0.011376416,0.011997361,0.010295402,0.011073579,0.008730159,0.0120125,0.011243765,0.011243765,0.011243765
Q4KLH9,0.013476981,0.020221335,0.031816334,0.016680428,0.023173282,0.019514343,0.033003389,0.029271514,0.031479556,0.024778765,0.010535441,0.015525621,0.034015148,0.034243669,0.018588756,0.029963211,0.019045228,0.035351521,0.026867156,0.03139003,0.021636415,0.038464151,0.030366373,0.015000027,0.011667084,0.029168927,0.021901253,0.011667084,0.018245427,0.864689128,0.027109572,0.025851513,0.037209895,0.01217872,0.029336346,0.029336346,0.018604948,0.015513294,0.011376416,1,0.027109572,0.021636415,0.029695278,0.015525621,0.024392929,0.012195301,0.010535441,0.98787062,0.019542452,0.029271514,0.020442736,0.015513294,0.023480534,0.025640892,0.025640892,0.023198902
